Formula,Material Class,H2 wt %,HtoM,Delta H,Pressure,Temperature,meanatomic_weight,varienceatomic_weight,minatomic_weight,maxatomic_weight,meanX_pauling,varienceX_pauling,minX_pauling,maxX_pauling,meanZ,varienceZ,minZ,maxZ,meanX_mulliken,varienceX_mulliken,minX_mulliken,maxX_mulliken,meandensity,variencedensity,mindensity,maxdensity,meanatomic_radius,varienceatomic_radius,minatomic_radius,maxatomic_radius,meancovalent_radius,variencecovalent_radius,mincovalent_radius,maxcovalent_radius,meancovalent_sphere_volume,meanatomic_volume,varienceatomic_volume,minatomic_volume,maxatomic_volume,meannvalence,variencenvalence,minnvalence,maxnvalence,Packing Fraction,LLD_atomic,LLD_covalent
Zr2Fe,A2B,1.7,1.373679552,,,,79.431,278.149698,55.845,91.224,1.496666667,0.05555555556,1.33,1.83,35.33333333,43.55555556,26,40,3.695544633,0.05484316518,3.52995,4.0267339,6.97,0.405,6.52,7.87,150,50,140,155,141.3333333,320.8888889,116,154,12378467.07,11.76666667,10.88888889,7.1,14.1,5.333333333,3.555555556,4,8,0.6538921217,0.04714045208,0.1267455551
Zr2Fe,A2B,2.1,1.703831461,,,,79.431,278.149698,55.845,91.224,1.496666667,0.05555555556,1.33,1.83,35.33333333,43.55555556,26,40,3.695544633,0.05484316518,3.52995,4.0267339,6.97,0.405,6.52,7.87,150,50,140,155,141.3333333,320.8888889,116,154,12378467.07,11.76666667,10.88888889,7.1,14.1,5.333333333,3.555555556,4,8,0.6538921217,0.04714045208,0.1267455551
Zr2Fe(B2O3).1,A2B,1.7,1.211838367,,,,70.07277143,764.7958464,10.81,91.224,1.694285714,0.3491387755,1.33,3.44,31.25714286,137.3338776,5,40,4.058938064,1.201638857,3.52995,7.53958375,6.108112114,4.99177226,0.001308,7.87,138.5714286,847.9591837,60,155,131.4,883.6685714,63,154,10846887.91,11.54857143,12.64821224,4.6,14.1,5.257142857,3.391020408,3,8,0.5691927361,0.2101424444,0.226229554
Zr2FeO.3,A2B,1.5,1.121793724,,,,73.66445455,585.3938266,15.999,91.224,1.673333333,0.3626161616,1.33,3.44,32.84848485,101.3406795,8,40,4.045002735,1.27106707,3.52995,7.53958375,6.336482545,4.38162547,0.001308,7.87,141.8181818,714.8760331,60,155,134.2121212,798.8337925,63,154,11348369.56,11.96969697,10.31120294,7.1,14.1,5.393939394,3.269054178,4,8,0.5876520111,0.188531297,0.2105893837
Zr2Ni,A2B,1.3,1.058709287,183,0,604,80.38046667,235.1644303,58.6934,91.224,1.523333333,0.07475555556,1.33,1.91,36,32,28,40,3.8192795,0.1674231191,3.52995,4.3979385,7.313333333,1.258755556,6.52,8.9,148.3333333,88.88888889,135,155,139.3333333,430.2222222,110,154,12057471.7,11.6,12.5,6.6,14.1,6,8,4,10,0.660416002,0.06356016011,0.1488645855
Zr2Ni,A2B,1.3,1.058709287,,,,80.38046667,235.1644303,58.6934,91.224,1.523333333,0.07475555556,1.33,1.91,36,32,28,40,3.8192795,0.1674231191,3.52995,4.3979385,7.313333333,1.258755556,6.52,8.9,148.3333333,88.88888889,135,155,139.3333333,430.2222222,110,154,12057471.7,11.6,12.5,6.6,14.1,6,8,4,10,0.660416002,0.06356016011,0.1488645855
Zr2Ni,A2B,1.8,1.473369043,,,,80.38046667,235.1644303,58.6934,91.224,1.523333333,0.07475555556,1.33,1.91,36,32,28,40,3.8192795,0.1674231191,3.52995,4.3979385,7.313333333,1.258755556,6.52,8.9,148.3333333,88.88888889,135,155,139.3333333,430.2222222,110,154,12057471.7,11.6,12.5,6.6,14.1,6,8,4,10,0.660416002,0.06356016011,0.1488645855
Zr2Ni,A2B,2,1.640417687,,,,80.38046667,235.1644303,58.6934,91.224,1.523333333,0.07475555556,1.33,1.91,36,32,28,40,3.8192795,0.1674231191,3.52995,4.3979385,7.313333333,1.258755556,6.52,8.9,148.3333333,88.88888889,135,155,139.3333333,430.2222222,110,154,12057471.7,11.6,12.5,6.6,14.1,6,8,4,10,0.660416002,0.06356016011,0.1488645855
Zr2Pd,A2B,0.9,0.8744742684,,,,96.28933333,51.31520356,91.224,106.42,1.62,0.1682,1.33,2.2,42,8,40,46,3.836443333,0.1878763268,3.52995,4.44943,8.346666667,6.673422222,6.52,12,150,50,140,155,142.6666667,256.8888889,120,154,12611788.27,12.36666667,6.008888889,8.9,14.1,6,8,4,10,0.6581244905,0.04714045208,0.112344068
Zr2Pd,A2B,1.6,1.565680217,,0.1,25,96.28933333,51.31520356,91.224,106.42,1.62,0.1682,1.33,2.2,42,8,40,46,3.836443333,0.1878763268,3.52995,4.44943,8.346666667,6.673422222,6.52,12,150,50,140,155,142.6666667,256.8888889,120,154,12611788.27,12.36666667,6.008888889,8.9,14.1,6,8,4,10,0.6581244905,0.04714045208,0.112344068
Zr2Pd,A2B,1.9,1.864931023,,500,20,96.28933333,51.31520356,91.224,106.42,1.62,0.1682,1.33,2.2,42,8,40,46,3.836443333,0.1878763268,3.52995,4.44943,8.346666667,6.673422222,6.52,12,150,50,140,155,142.6666667,256.8888889,120,154,12611788.27,12.36666667,6.008888889,8.9,14.1,6,8,4,10,0.6581244905,0.04714045208,0.112344068
Zr2Rh,A2B,1.5,1.448494924,,,,95.11783333,30.32387606,91.224,102.9055,1.646666667,0.2005555556,1.33,2.28,41.66666667,5.555555556,40,45,3.78595,0.131072,3.52995,4.29795,8.48,7.6832,6.52,12.4,148.3333333,88.88888889,135,155,144.3333333,186.8888889,125,154,12926122.07,12.16666667,7.475555556,8.3,14.1,5.666666667,5.555555556,4,9,0.6937430532,0.06356016011,0.09471638178
ZrTiNi,A2B,1.9,1.276895549,,,,65.92813333,339.4755914,47.867,91.224,1.593333333,0.05748888889,1.33,1.91,30,56,22,40,3.793816167,0.1834544688,3.45356,4.3979385,6.642,3.225314667,4.506,8.9,143.3333333,72.22222222,135,155,133.3333333,326.2222222,110,154,10470188.29,10.43333333,9.388888889,6.6,14.1,6,8,4,10,0.6350078223,0.05929092458,0.1354621718
(Hf.2Zr.8)2Fe,A2B,1.5,1.386798985,,,,91.06646667,1432.580364,55.845,178.49,1.492666667,0.05699288889,1.3,1.83,39.6,201.7066667,26,72,3.680822633,0.06112772591,3.419535,4.0267339,7.874,4.903304,6.52,13.3,150,50,140,155,141.0666667,314.5955556,116,154,12300021.64,11.7,10.60666667,7.1,14.1,5.333333333,3.555555556,4,8,0.640234821,0.04714045208,0.1257337554
(Hf.4Zr.6)2Fe,A2B,1.6,1.669950136,,,,102.7019333,2316.242862,55.845,178.49,1.488666667,0.05839822222,1.3,1.83,43.86666667,323.4488889,26,72,3.666100633,0.06697881207,3.419535,4.0267339,8.778,7.767176,6.52,13.3,150,50,140,155,140.8,308.16,116,154,12221576.21,11.63333333,10.31555556,7.1,14.1,5.333333333,3.555555556,4,8,0.6288407384,0.04714045208,0.1246767515
(Hf.6Zr.4)2Fe,A2B,1.4,1.623451927,,,,114.3374,2929.13719,55.845,178.49,1.484666667,0.05977155556,1.3,1.83,48.13333333,408.7822222,26,72,3.651378633,0.07239642366,3.419535,4.0267339,9.682,8.996616,6.52,13.3,150,50,140,155,140.5333333,301.5822222,116,154,12143130.78,11.56666667,10.01555556,7.1,14.1,5.333333333,3.555555556,4,8,0.6190189294,0.04714045208,0.1235729803
(Hf.8Zr.2)2Fe,A2B,1.3,1.659217089,,,,125.9728667,3271.263349,55.845,178.49,1.480666667,0.06111288889,1.3,1.83,52.4,457.7066667,26,72,3.636656633,0.07738056069,3.419535,4.0267339,10.586,8.591624,6.52,13.3,150,50,140,155,140.2666667,294.8622222,116,154,12064685.36,11.5,9.706666667,7.1,14.1,5.333333333,3.555555556,4,8,0.6103337255,0.04714045208,0.1224207655
Er2Al,A2B,1.1,1.340240958,,,,120.4998462,4372.836934,26.9815385,167.259,1.363333333,0.03042222222,1.24,1.61,49.66666667,672.2222222,13,68,3.1056664,0.005369878618,3.05385,3.2092992,6.946666667,9.017088889,2.7,9.07,158.3333333,555.5555556,125,175,152,338,126,165,15337431.26,15.6,15.68,10,18.4,10.33333333,26.88888889,3,14,0.5322787007,0.1488645855,0.1209524757
Eu2Ir,A2B,1,1.670521886,,,,165.3816667,360.0675576,151.964,192.217,,,,,67.66666667,43.55555556,63,77,3.933265,0.8873051505,3.2671925,5.26541,11.01406667,66.67969174,5.24,22.5622,168.3333333,555.5555556,135,185,152.6666667,470.2222222,122,168,15776536.56,22.11333333,92.11768889,8.54,28.9,9,0,9,9,0.6325116018,0.1400211448,0.1420389167
Hf2Co,A2B,0.7,0.9773052561,,,,138.6377313,3176.406636,58.933194,178.49,1.493333333,0.07475555556,1.3,1.88,57,450,27,72,3.703567743,0.1613491986,3.419535,4.27163323,11.82,4.3808,8.86,13.3,148.3333333,88.88888889,135,155,138.3333333,373.5555556,111,152,11716391.08,11.3,10.58,6.7,13.6,5.666666667,5.555555556,4,9,0.6013487109,0.06356016011,0.1397174845
Hf2Co,A2B,0.9,1.259071223,,,50,138.6377313,3176.406636,58.933194,178.49,1.493333333,0.07475555556,1.3,1.88,57,450,27,72,3.703567743,0.1613491986,3.419535,4.27163323,11.82,4.3808,8.86,13.3,148.3333333,88.88888889,135,155,138.3333333,373.5555556,111,152,11716391.08,11.3,10.58,6.7,13.6,5.666666667,5.555555556,4,9,0.6013487109,0.06356016011,0.1397174845
Hf2Co,A2B,0.9,1.259071223,,,,138.6377313,3176.406636,58.933194,178.49,1.493333333,0.07475555556,1.3,1.88,57,450,27,72,3.703567743,0.1613491986,3.419535,4.27163323,11.82,4.3808,8.86,13.3,148.3333333,88.88888889,135,155,138.3333333,373.5555556,111,152,11716391.08,11.3,10.58,6.7,13.6,5.666666667,5.555555556,4,9,0.6013487109,0.06356016011,0.1397174845
Hf2Co,A2B,1.1,1.541976789,,,,138.6377313,3176.406636,58.933194,178.49,1.493333333,0.07475555556,1.3,1.88,57,450,27,72,3.703567743,0.1613491986,3.419535,4.27163323,11.82,4.3808,8.86,13.3,148.3333333,88.88888889,135,155,138.3333333,373.5555556,111,152,11716391.08,11.3,10.58,6.7,13.6,5.666666667,5.555555556,4,9,0.6013487109,0.06356016011,0.1397174845
Hf2Cu,A2B,0.4,0.5629531459,,,,140.1753333,2936.027364,63.546,178.49,1.5,0.08,1.3,1.9,57.66666667,410.8888889,29,72,3.773253333,0.2502333187,3.419535,4.48069,11.85333333,4.185688889,8.96,13.3,148.3333333,88.88888889,135,155,138.6666667,355.5555556,112,152,11768467.52,11.43333333,9.388888889,7.1,13.6,6.333333333,10.88888889,4,11,0.5990806664,0.06356016011,0.1359820733
Hf2Cu,A2B,0.7,0.9881443437,,,,140.1753333,2936.027364,63.546,178.49,1.5,0.08,1.3,1.9,57.66666667,410.8888889,29,72,3.773253333,0.2502333187,3.419535,4.48069,11.85333333,4.185688889,8.96,13.3,148.3333333,88.88888889,135,155,138.6666667,355.5555556,112,152,11768467.52,11.43333333,9.388888889,7.1,13.6,6.333333333,10.88888889,4,11,0.5990806664,0.06356016011,0.1359820733
Hf2Cu,A2B,0.7,0.9881443437,,,50,140.1753333,2936.027364,63.546,178.49,1.5,0.08,1.3,1.9,57.66666667,410.8888889,29,72,3.773253333,0.2502333187,3.419535,4.48069,11.85333333,4.185688889,8.96,13.3,148.3333333,88.88888889,135,155,138.6666667,355.5555556,112,152,11768467.52,11.43333333,9.388888889,7.1,13.6,6.333333333,10.88888889,4,11,0.5990806664,0.06356016011,0.1359820733
Hf2Fe,A2B,0.75,1.039861461,,,50,137.6083333,3342.621339,55.845,178.49,1.476666667,0.06242222222,1.3,1.83,56.66666667,470.2222222,26,72,3.621934633,0.08193122315,3.419535,4.0267339,11.49,6.5522,7.87,13.3,150,50,140,155,140,288,116,152,11986239.93,11.43333333,9.388888889,7.1,13.6,5.333333333,3.555555556,4,8,0.6024968099,0.04714045208,0.1212183053
